"","monthf","monthweek","weekday","year","city_state","no_topic","topic","topic_prop"
"239","Feb.",2,"Sunday",2016,"Philadelphia, PA",317,65,0.170157068062827
"240","Feb.",2,"Sunday",2017,"Philadelphia, PA",378,57,0.131034482758621
"241","Feb.",2,"Sunday",2018,"Philadelphia, PA",433,54,0.11088295687885
"242","Feb.",2,"Thursday",2015,"Philadelphia, PA",289,19,0.0616883116883117
"243","Feb.",2,"Thursday",2016,"Boston, MA",533,117,0.18
"244","Feb.",2,"Thursday",2016,"New York, NY",318,61,0.160949868073879
"245","Feb.",2,"Thursday",2016,"Philadelphia, PA",456,95,0.172413793103448
"246","Feb.",2,"Thursday",2017,"Philadelphia, PA",491,51,0.0940959409594096
"247","Feb.",2,"Thursday",2018,"Philadelphia, PA",768,12,0.0153846153846154
"248","Feb.",2,"Tuesday",2015,"Philadelphia, PA",288,47,0.140298507462687
"249","Feb.",2,"Tuesday",2016,"Boston, MA",199,119,0.374213836477987
"250","Feb.",2,"Tuesday",2016,"New York, NY",401,71,0.150423728813559
"251","Feb.",2,"Tuesday",2016,"Philadelphia, PA",682,134,0.16421568627451
"252","Feb.",2,"Tuesday",2017,"Philadelphia, PA",572,159,0.217510259917921
"253","Feb.",2,"Tuesday",2018,"Philadelphia, PA",488,39,0.0740037950664137
"254","Feb.",2,"Wednesday",2015,"Philadelphia, PA",520,67,0.114139693356048
"255","Feb.",2,"Wednesday",2016,"Boston, MA",404,305,0.430183356840621
"256","Feb.",2,"Wednesday",2016,"New York, NY",247,58,0.19016393442623
"257","Feb.",2,"Wednesday",2016,"Philadelphia, PA",444,189,0.298578199052133
"258","Feb.",2,"Wednesday",2017,"Philadelphia, PA",590,95,0.138686131386861
"259","Feb.",2,"Wednesday",2018,"Philadelphia, PA",553,43,0.0721476510067114
"260","Feb.",3,"Friday",2015,"Philadelphia, PA",279,64,0.186588921282799
"261","Feb.",3,"Friday",2016,"Boston, MA",283,65,0.186781609195402
"262","Feb.",3,"Friday",2016,"New York, NY",325,66,0.168797953964194
"263","Feb.",3,"Friday",2016,"Philadelphia, PA",635,163,0.204260651629073
"264","Feb.",3,"Friday",2017,"Philadelphia, PA",246,73,0.22884012539185
"265","Feb.",3,"Friday",2018,"Philadelphia, PA",287,33,0.103125
"266","Feb.",3,"Monday",2015,"Philadelphia, PA",277,25,0.0827814569536424
"267","Feb.",3,"Monday",2016,"Boston, MA",580,144,0.198895027624309
"268","Feb.",3,"Monday",2016,"New York, NY",278,73,0.207977207977208
"269","Feb.",3,"Monday",2016,"Philadelphia, PA",317,62,0.163588390501319
"270","Feb.",3,"Monday",2017,"Philadelphia, PA",471,65,0.121268656716418
"271","Feb.",3,"Monday",2018,"Philadelphia, PA",322,64,0.16580310880829
"272","Feb.",3,"Saturday",2015,"Philadelphia, PA",298,33,0.0996978851963746
"273","Feb.",3,"Saturday",2016,"Boston, MA",124,40,0.24390243902439
"274","Feb.",3,"Saturday",2016,"New York, NY",92,23,0.2
"275","Feb.",3,"Saturday",2016,"Philadelphia, PA",498,111,0.182266009852217
"276","Feb.",3,"Saturday",2017,"Philadelphia, PA",356,59,0.142168674698795
"277","Feb.",3,"Saturday",2018,"Philadelphia, PA",162,29,0.151832460732984
"278","Feb.",3,"Sunday",2015,"Philadelphia, PA",137,7,0.0486111111111111
"279","Feb.",3,"Sunday",2016,"Boston, MA",371,113,0.233471074380165
"280","Feb.",3,"Sunday",2016,"New York, NY",58,57,0.495652173913044
"281","Feb.",3,"Sunday",2016,"Philadelphia, PA",558,127,0.185401459854015
"282","Feb.",3,"Sunday",2017,"Philadelphia, PA",507,87,0.146464646464646
"283","Feb.",3,"Sunday",2018,"Philadelphia, PA",182,13,0.0666666666666667
"284","Feb.",3,"Thursday",2015,"Philadelphia, PA",334,95,0.221445221445221
"285","Feb.",3,"Thursday",2016,"Boston, MA",208,70,0.251798561151079
"286","Feb.",3,"Thursday",2016,"New York, NY",143,44,0.235294117647059
"287","Feb.",3,"Thursday",2016,"Philadelphia, PA",641,127,0.165364583333333
"288","Feb.",3,"Thursday",2017,"Philadelphia, PA",583,129,0.181179775280899
"289","Feb.",3,"Thursday",2018,"Philadelphia, PA",436,53,0.10838445807771
"290","Feb.",3,"Tuesday",2015,"Philadelphia, PA",279,23,0.076158940397351
"291","Feb.",3,"Tuesday",2016,"Boston, MA",437,46,0.0952380952380952
"292","Feb.",3,"Tuesday",2016,"New York, NY",254,45,0.150501672240803
"293","Feb.",3,"Tuesday",2016,"Philadelphia, PA",416,64,0.133333333333333
"294","Feb.",3,"Tuesday",2017,"Philadelphia, PA",614,191,0.237267080745342
"295","Feb.",3,"Tuesday",2018,"Philadelphia, PA",307,42,0.120343839541547
"296","Feb.",3,"Wednesday",2015,"Philadelphia, PA",425,54,0.112734864300626
"297","Feb.",3,"Wednesday",2016,"Boston, MA",264,42,0.137254901960784
"298","Feb.",3,"Wednesday",2016,"New York, NY",353,99,0.219026548672566
"299","Feb.",3,"Wednesday",2016,"Philadelphia, PA",619,147,0.191906005221932
"300","Feb.",3,"Wednesday",2017,"Philadelphia, PA",480,159,0.248826291079812
"301","Feb.",3,"Wednesday",2018,"Philadelphia, PA",310,27,0.0801186943620178
"302","Feb.",4,"Friday",2015,"Philadelphia, PA",338,7,0.0202898550724638
"303","Feb.",4,"Friday",2016,"Boston, MA",361,100,0.216919739696312
"304","Feb.",4,"Friday",2016,"New York, NY",185,45,0.195652173913043
"305","Feb.",4,"Friday",2016,"Philadelphia, PA",517,80,0.134003350083752
"306","Feb.",4,"Friday",2017,"Philadelphia, PA",737,189,0.204103671706264
"307","Feb.",4,"Friday",2018,"Philadelphia, PA",229,26,0.101960784313725
"308","Feb.",4,"Monday",2015,"Philadelphia, PA",426,21,0.0469798657718121
"309","Feb.",4,"Monday",2016,"Boston, MA",301,60,0.166204986149584
"310","Feb.",4,"Monday",2016,"New York, NY",276,73,0.209169054441261
"311","Feb.",4,"Monday",2016,"Philadelphia, PA",509,126,0.198425196850394
"312","Feb.",4,"Monday",2017,"Philadelphia, PA",511,128,0.200312989045383
"313","Feb.",4,"Monday",2018,"Philadelphia, PA",327,65,0.165816326530612
"314","Feb.",4,"Saturday",2015,"Philadelphia, PA",297,5,0.0165562913907285
"315","Feb.",4,"Saturday",2016,"Boston, MA",223,72,0.24406779661017
"316","Feb.",4,"Saturday",2016,"New York, NY",210,52,0.198473282442748
"317","Feb.",4,"Saturday",2016,"Philadelphia, PA",399,73,0.154661016949153
"318","Feb.",4,"Saturday",2017,"Philadelphia, PA",361,83,0.186936936936937
"319","Feb.",4,"Saturday",2018,"Philadelphia, PA",264,29,0.0989761092150171
"320","Feb.",4,"Sunday",2015,"Philadelphia, PA",177,0,0
"321","Feb.",4,"Sunday",2016,"Boston, MA",103,28,0.213740458015267
"322","Feb.",4,"Sunday",2016,"New York, NY",60,80,0.571428571428571
"323","Feb.",4,"Sunday",2016,"Philadelphia, PA",415,96,0.187866927592955
"324","Feb.",4,"Sunday",2017,"Philadelphia, PA",564,105,0.15695067264574
"325","Feb.",4,"Sunday",2018,"Philadelphia, PA",89,22,0.198198198198198
"326","Feb.",4,"Thursday",2015,"Philadelphia, PA",314,32,0.092485549132948
"327","Feb.",4,"Thursday",2016,"Boston, MA",247,61,0.198051948051948
"328","Feb.",4,"Thursday",2016,"New York, NY",242,39,0.138790035587189
"329","Feb.",4,"Thursday",2016,"Philadelphia, PA",472,74,0.135531135531136
"330","Feb.",4,"Thursday",2017,"Philadelphia, PA",674,150,0.182038834951456
"331","Feb.",4,"Thursday",2018,"Philadelphia, PA",334,73,0.179361179361179
"332","Feb.",4,"Tuesday",2015,"Philadelphia, PA",398,16,0.0386473429951691
"333","Feb.",4,"Tuesday",2016,"Boston, MA",460,94,0.169675090252708
"334","Feb.",4,"Tuesday",2016,"New York, NY",141,20,0.124223602484472
"335","Feb.",4,"Tuesday",2016,"Philadelphia, PA",342,99,0.224489795918367
"336","Feb.",4,"Tuesday",2017,"Philadelphia, PA",521,86,0.14168039538715
"337","Feb.",4,"Tuesday",2018,"Philadelphia, PA",433,86,0.165703275529865
"338","Feb.",4,"Wednesday",2015,"Philadelphia, PA",183,34,0.15668202764977
