"","date","topic","city_state","smoothed_mean_within_day","year"
"310",2014-07-23,"National Politics","Philadelphia, PA",1.08785690337357,2014
"311",2014-07-23,"Local Politics","Philadelphia, PA",2.19186374160684,2014
"312",2014-07-23,"Crime","Philadelphia, PA",8.31716620216309,2014
"313",2014-07-23,"Disaster","Philadelphia, PA",5.59628510200784,2014
"314",2014-07-23,"Sports","Philadelphia, PA",4.29504064300678,2014
"315",2014-07-23,"Weather","Philadelphia, PA",8.78902061892012,2014
"316",2014-07-24,"Politics","Philadelphia, PA",3.16268013076169,2014
"317",2014-07-24,"National Politics","Philadelphia, PA",1.08878146031333,2014
"318",2014-07-24,"Local Politics","Philadelphia, PA",2.19199326468968,2014
"319",2014-07-24,"Crime","Philadelphia, PA",8.32187940110597,2014
"320",2014-07-24,"Disaster","Philadelphia, PA",5.57159590855538,2014
"321",2014-07-24,"Sports","Philadelphia, PA",4.31572879971765,2014
"322",2014-07-24,"Weather","Philadelphia, PA",8.75806485962343,2014
"323",2014-07-25,"Politics","Philadelphia, PA",3.16004166244534,2014
"324",2014-07-25,"National Politics","Philadelphia, PA",1.08975779702357,2014
"325",2014-07-25,"Local Politics","Philadelphia, PA",2.19217832254996,2014
"326",2014-07-25,"Crime","Philadelphia, PA",8.32671008769081,2014
"327",2014-07-25,"Disaster","Philadelphia, PA",5.54732503397335,2014
"328",2014-07-25,"Sports","Philadelphia, PA",4.33619341735404,2014
"329",2014-07-25,"Weather","Philadelphia, PA",8.72780429890225,2014
"330",2014-07-26,"Politics","Philadelphia, PA",3.15752766159556,2014
"331",2014-07-26,"National Politics","Philadelphia, PA",1.09078240920444,2014
"332",2014-07-26,"Local Politics","Philadelphia, PA",2.19241295548279,2014
"333",2014-07-26,"Crime","Philadelphia, PA",8.33164900318627,2014
"334",2014-07-26,"Disaster","Philadelphia, PA",5.52346550228131,2014
"335",2014-07-26,"Sports","Philadelphia, PA",4.35642844840659,2014
"336",2014-07-26,"Weather","Philadelphia, PA",8.69823895470114,2014
"337",2014-07-27,"Politics","Philadelphia, PA",3.15512874891041,2014
"338",2014-07-27,"National Politics","Philadelphia, PA",1.09185031973994,2014
"339",2014-07-27,"Local Politics","Philadelphia, PA",2.19268922200664,2014
"340",2014-07-27,"Crime","Philadelphia, PA",8.33668210582356,2014
